['354匹配结果:0.473203301429749', '356匹配结果:0.93407541513443', '356匹配成功置信度：0.93407541513443']
['388匹配结果:0.750488042831421', '390匹配结果:0.932291567325592', '389匹配成功置信度：0.934511482715607']
['322匹配结果:0.467869788408279', '324匹配结果:0.943987548351288', '323匹配成功置信度：0.887587606906891']
['342匹配结果:0.455825209617615', '344匹配结果:0.933975577354431', '343匹配成功置信度：0.934996068477631']
['352匹配结果:0.466149687767029', '354匹配结果:0.934729039669037', '354匹配成功置信度：0.934729039669037']
['380匹配结果:0.467667430639267', '382匹配结果:0.927026569843292', '382匹配成功置信度：0.927026569843292']
['384匹配结果:0.468579918146133', '386匹配结果:0.936177015304565', '386匹配成功置信度：0.936177015304565']
['380匹配结果:0.449687540531158', '382匹配结果:0.932328581809998', '381匹配成功置信度：0.935252666473389']
['366匹配结果:0.46664896607399', '368匹配结果:0.925488233566284', '368匹配成功置信度：0.925488233566284']
['372匹配结果:0.475957274436951', '374匹配结果:0.926682233810425', '374匹配成功置信度：0.926682233810425']
['396匹配结果:0.769157528877258', '398匹配结果:0.936318635940552', '397匹配成功置信度：0.937787771224976']
['384匹配结果:0.447998613119125', '386匹配结果:0.932000994682312', '385匹配成功置信度：0.931009709835052']
['356匹配结果:0.473225295543671', '358匹配结果:0.928373873233795', '358匹配成功置信度：0.928373873233795']
['346匹配结果:0.498723894357681', '348匹配结果:0.927263975143433', '347匹配成功置信度：0.933886826038361']
['394匹配结果:0.468162566423416', '396匹配结果:0.929681479930878', '395匹配成功置信度：0.921898722648621']
['362匹配结果:0.471654236316681', '364匹配结果:0.882512509822845', '364匹配成功置信度：0.882512509822845']
['390匹配结果:0.467613130807877', '392匹配结果:0.933747947216034', '392匹配成功置信度：0.933747947216034']
['380匹配结果:0.465947270393372', '382匹配结果:0.927774608135223', '381匹配成功置信度：0.920476198196411']
['380匹配结果:0.471006989479065', '382匹配结果:0.929207980632782', '382匹配成功置信度：0.929207980632782']
['378匹配结果:0.459435731172562', '380匹配结果:0.926335394382477', '379匹配成功置信度：0.92341136932373']
['384匹配结果:0.473282337188721', '386匹配结果:0.934544265270233', '386匹配成功置信度：0.934544265270233']
['368匹配结果:0.463005244731903', '370匹配结果:0.921786904335022', '370匹配成功置信度：0.921786904335022']
['370匹配结果:0.470068126916885', '372匹配结果:0.91548091173172', '372匹配成功置信度：0.91548091173172']
['378匹配结果:0.463809758424759', '380匹配结果:0.931223392486572', '379匹配成功置信度：0.915098309516907']
['350匹配结果:0.468434363603592', '352匹配结果:0.92392909526825', '351匹配成功置信度：0.922316312789917']
